keyword,word,count
rare earth,rare,57
rare earth,earth,57
rare earth,magnet,28
rare earth,permanent,16
rare earth,repm,16
rare earth,project,16
rare earth,manufacturing,15
rare earth,motor,14
rare earth,electric,13
rare earth,vehicle,13
rare earth,material,13
rare earth,year,13
rare earth,china,12
rare earth,supply,10
rare earth,chain,10
rare earth,scheme,10
rare earth,europe,10
rare earth,lkab,10
rare earth,new,9
rare earth,crore,9
rare earth,integrated,9
rare earth,mine,9
rare earth,norway,9
rare earth,deposit,8
rare earth,manufacturer,7
rare earth,global,7
rare earth,reliance,7
rare earth,through,7
rare earth,cost,7
rare earth,application,7
